twitter_username,twitter_id,mastodon_username
piesdeperro,183808855,https://tkz.one/@piesdeperro
gal_suburban,1316468089018609670,https://mastodon.social/@Gal_suburban/109333833249919063
flowerofmemory,61280655,https://c.im/@Flowerofmemory
yungkiryu,2511591006,https://mastodon.sdf.org/@yungkiryu
ivanjuarezart,880200086696992768,https://tkz.one/@ivanjuarezart
theunawarewolf,1474159886305005570,https://universeodon.com/@theunawarewolf
nateplusplus,15832647,https://techhub.social/@nateplusplus
jjhevel,1110463828058427392,https://writing.exchange/@jhevel
gianpiero82,229114116,https://mastodon.uno/@gianpiero82
AbyssGrant,404000908,https://socel.net/@AbyssGrant
francoiseleste,121026820,https://mastodon.online/@francoiseleste/109332007637990243
TheDustyUno,1328827810123718656,https://mstdn.party/@jpgoldstein
EvilTurtleGames,1462614874626965505,https://peoplemaking.games/@evilturtle
Rauchz3ich3n,1157616277269241862,https://social.cologne/@rauchz3ch3n
MyBlondeSpace,124467723,https://mastodonapp.uk/@LauraJaneStephens
Schiracha,3072527818,https://qoto.org/@Schiracha
AlessioPao,3428212768,https://archaeo.social/@archexis
wajlonis,88392606,https://kolektiva.social/@csbgdn
Glitterbug825,111761223,https://mindly.social/@glitterbug825
bothness,491313936,https://vis.social/@bothness
Scott1984FP,65581806,https://mastodon.social/@Scott1984FP/109337139251239654
KillerDread,1684065470,https://tkz.one/@KillerDread
pchowla,124516231,https://econtwitter.net/@pchowla
cisene,16326705,https://mastodon.social/@cisene
SolEnFlandes,2555121020,https://mastodon.social/@Solenflandes/
pearcec,2883291,https://fosstodon.org/@pearcec
alimrod,197209521,https://mastodon.social/@alimrod
sypianski,14816447,https://kfem.cat/@sypianski
oLD_KaNuToR,494009315,https://tkz.one/@KaNuToR
CatMazikeen,257218760,https://mastodon.social/@CheriCatMum
SAMSONFLO,88693115,https://mastouille.fr/@samsonflorence
Bad_Journalist2,1477300387073990661,https://mas.to/@Bad_Journalist2
auntybumblebeez,97873919,https://metalhead.club/@Belindabeez
adamrudy,41002690,https://pettingzoo.co/@flamingquaks
mawedler2,1253267702384406529,https://social.dev-wiki.de/@mawedler
_dans_dans,120436122,https://scholar.social/@natebowling/108362866509590627
Nacho_Rolero,1393493608410533891,https://tkz.one/@Nacho_Rolero
Tenebris_Studio,1424451186728579074,https://mastodon.gamedev.place/@TenebrisStudio
padmanabhpv100,1480847678091063296,https://awscommunity.social/@ppvdev
Vegemini,27383436,https://mas.to/@LNiedel
mattFalcor,15355705,https://social.yesterweb.org/@Falcorian
SchoolingDiana,821870225112993792,https://mas.to/@CALLTOACTIVISM
carlschroedl,104530115,https://mas.to/@carlschroedl
AnagramWorld,1345754820255379459,https://peoplemaking.games/@AnagramWorld
rockienockie,1351039079467642881,https://dju.social/@rinoabonita
TheSacredIsle,965574689321095168,https://mastodon.online/@Wihtlore/109341498286176194
JohnMacGXxxx,1133103253573570561,https://mstdn.social/@AeonMach/109341637978260239
