twitter_username,mastodon_username,Twitter_TOXICITY,Twitter_SEVERE_TOXICITY,Twitter_IDENTITY_ATTACK,Twitter_INSULT,Twitter_PROFANITY,Twitter_THREAT,Mastodon_TOXICITY,Mastodon_SEVERE_TOXICITY,Mastodon_IDENTITY_ATTACK,Mastodon_INSULT,Mastodon_PROFANITY,Mastodon_THREAT
ivanjuarezart,tkz.one_ivanjuarezart,0.02912938270670861,0.0021533160682809223,0.004220005715303984,0.019771117763941252,0.030769791342767295,0.006481569286582822,0.0037619646499999996,0.0002959370575,0.0006821479875,0.0059976169,0.010409874999999999,0.00554283635
theunawarewolf,universeodon.com_theunawarewolf,0.1350028768397436,0.017386697530982907,0.02085191857594018,0.06566410452948722,0.10082066592414536,0.026604911852350418,0.3868501106,0.04187152636,0.0976111226,0.1851608246,0.3246554106,0.0853380388
nateplusplus,techhub.social_nateplusplus,0.07616747488536585,0.0075365044369512186,0.013459762049146343,0.04901097983048778,0.05541489486585367,0.014734644175609754,0.022743194999999997,0.0016657511666666666,0.004729559366666666,0.009837223566666666,0.017265207333333334,0.008505191
jjhevel,writing.exchange_jhevel,0.04186410227462685,0.002179080459850746,0.00564334509402985,0.018268185358208944,0.027281254074626872,0.012124418567164178,0.0383486816111111,0.0017339653338888886,0.007405182005555557,0.014560249022222221,0.022844566472222227,0.008756988955555557
gianpiero82,mastodon.uno_gianpiero82,0.08862001768879998,0.005518027849840002,0.019904111584980018,0.07182683562560002,0.04900838373199994,0.011217229408200023,0.07819700884210527,0.0035588257426315785,0.014875820221052634,0.07408033241578947,0.04450853463157895,0.0067805088210526315
AbyssGrant,socel.net_AbyssGrant,0.04081609015160005,0.0029912248638800007,0.006458688748100001,0.015154093066599969,0.03568505422299997,0.012143213584200013,0.03824029625,0.0019109249175,0.005614424925,0.01513227075,0.026440467875,0.008249512325
francoiseleste,mastodon.online_francoiseleste,0.23767760002602123,0.15705320035139822,0.23095746957849453,0.2415378494408605,0.16064263976559137,0.23419524664086064,0.2012699009333333,0.1142381065333333,0.17843564533333336,0.22411554766666666,0.14471946466666666,0.20173210533333336
TheDustyUno,mstdn.party_jpgoldstein,0.06228041519518412,0.007203583720113317,0.006438614533229457,0.018899509747592056,0.07154403965155805,0.012074978876487267,0.0282082565,0.0019752979249999998,0.006257262349999999,0.010638395,0.019425779,0.009786822
EvilTurtleGames,peoplemaking.games_evilturtle,0.05529933206199992,0.004920004228660004,0.0068995343849999995,0.025125332205399992,0.04011536490100002,0.012991177309799994,0.027806727821052635,0.0017477336668421054,0.0047887884263157895,0.0110568713,0.018769784552631584,0.00853687417894737
Rauchz3ich3n,social.cologne_rauchz3ch3n,0.3034357817625756,0.21417389328973854,0.2983887998732398,0.2865893822334004,0.18736152505030176,0.3157825924668004,0.2891886585,0.189434035,0.30887461,0.23499796899999997,0.1568759355,0.46003819999999995
